file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/arithmetic/mutant10/mutant10-static/9.grift,#(struct:srcloc 9.grift 25 33 957 43),elsewhere,1, (#(struct:srcloc 9.grift 35 36 1483 38))
/exp/blackscholes/arithmetic/mutant11/mutant11-dynamic.grift,#(struct:srcloc mutant11-dynamic.grift 51 23 1247 47),elsewhere,1, (#(struct:srcloc mutant11-dynamic.grift 67 49 1811 11))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/4.grift,#(struct:srcloc 4.grift 27 33 1063 47),elsewhere,1, (#(struct:srcloc 4.grift 35 60 1517 11))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/5.grift,#(struct:srcloc 5.grift 27 33 1063 47),elsewhere,1, (#(struct:srcloc 5.grift 35 60 1517 11))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/9.grift,#(struct:srcloc 9.grift 27 33 1053 47),elsewhere,1, (#(struct:srcloc 9.grift 35 60 1507 11))
/exp/blackscholes/arithmetic/mutant12/mutant12-dynamic.grift,#(struct:srcloc mutant12-dynamic.grift 55 23 1375 46),elsewhere,1, (#(struct:srcloc mutant12-dynamic.grift 67 49 1811 11))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/1.grift,#(struct:srcloc 1.grift 29 33 1172 46),elsewhere,1, (#(struct:srcloc 1.grift 35 60 1528 11))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/5.grift,#(struct:srcloc 5.grift 29 33 1163 46),elsewhere,1, (#(struct:srcloc 5.grift 35 60 1517 11))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/9.grift,#(struct:srcloc 9.grift 29 33 1153 46),elsewhere,1, (#(struct:srcloc 9.grift 35 60 1507 11))
/exp/blackscholes/arithmetic/mutant13/mutant13-static/7.grift,#(struct:srcloc 7.grift 31 33 1262 47),elsewhere,1, (#(struct:srcloc 7.grift 35 52 1507 20))
/exp/blackscholes/arithmetic/mutant13/mutant13-static/8.grift,#(struct:srcloc 8.grift 31 33 1260 47),elsewhere,1, (#(struct:srcloc 8.grift 35 52 1505 20))
/exp/blackscholes/arithmetic/mutant14/mutant14-dynamic.grift,#(struct:srcloc mutant14-dynamic.grift 63 23 1630 46),elsewhere,1, (#(struct:srcloc mutant14-dynamic.grift 67 33 1795 29))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/9.grift,#(struct:srcloc 9.grift 35 36 1461 60),elsewhere,1, (#(struct:srcloc 9.grift 37 48 1619 20))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/2.grift,#(struct:srcloc 2.grift 53 12 2227 52),elsewhere*2,2, (#(struct:srcloc 2.grift 55 15 2321 45) #(struct:srcloc 2.grift 57 18 2414 12))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/4.grift,#(struct:srcloc 4.grift 53 12 2224 52),elsewhere*2,2, (#(struct:srcloc 4.grift 55 15 2318 45) #(struct:srcloc 4.grift 57 18 2409 12))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/5.grift,#(struct:srcloc 5.grift 53 12 2210 52),elsewhere*2,2, (#(struct:srcloc 5.grift 55 15 2304 45) #(struct:srcloc 5.grift 57 18 2395 12))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/7.grift,#(struct:srcloc 7.grift 53 12 2208 52),elsewhere*2,2, (#(struct:srcloc 7.grift 55 15 2302 45) #(struct:srcloc 7.grift 57 18 2393 12))
/exp/blackscholes/arithmetic/mutant29/mutant29-dynamic.grift,#(struct:srcloc mutant29-dynamic.grift 113 15 3005 69),elsewhere*2,2, (#(struct:srcloc mutant29-dynamic.grift 115 38 3147 23) #(struct:srcloc mutant29-dynamic.grift 116 19 3191 33))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/3.grift,#(struct:srcloc 3.grift 63 21 2646 69),elsewhere*2,2, (#(struct:srcloc 3.grift 65 42 2797 23) #(struct:srcloc 3.grift 66 23 2845 33))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/6.grift,#(struct:srcloc 6.grift 63 21 2634 69),elsewhere*2,2, (#(struct:srcloc 6.grift 65 42 2785 23) #(struct:srcloc 6.grift 66 23 2833 33))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/7.grift,#(struct:srcloc 7.grift 63 21 2630 69),elsewhere*2,2, (#(struct:srcloc 7.grift 66 23 2829 33) #(struct:srcloc 7.grift 65 42 2781 23))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/3.grift,#(struct:srcloc 3.grift 13 18 432 53),elsewhere,1, (#(struct:srcloc 3.grift 37 48 1627 20))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/6.grift,#(struct:srcloc 6.grift 13 18 432 53),elsewhere,1, (#(struct:srcloc 6.grift 37 48 1627 20))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/7.grift,#(struct:srcloc 7.grift 13 18 432 53),elsewhere,1, (#(struct:srcloc 7.grift 37 48 1625 20))
/exp/blackscholes/arithmetic/mutant6/mutant6-dynamic.grift,#(struct:srcloc mutant6-dynamic.grift 31 15 677 37),elsewhere*2,2, (#(struct:srcloc mutant6-dynamic.grift 35 17 798 17) #(struct:srcloc mutant6-dynamic.grift 51 23 1269 25))
/exp/blackscholes/arithmetic/mutant6/mutant6-static/9.grift,#(struct:srcloc 9.grift 17 21 609 37),elsewhere*2,2, (#(struct:srcloc 9.grift 19 24 708 17) #(struct:srcloc 9.grift 27 33 1075 25))
/exp/blackscholes/arithmetic/mutant8/mutant8-dynamic.grift,#(struct:srcloc mutant8-dynamic.grift 39 19 885 39),elsewhere*2,2, (#(struct:srcloc mutant8-dynamic.grift 59 23 1524 25) #(struct:srcloc mutant8-dynamic.grift 43 21 1024 17))
/exp/blackscholes/constant-swap/mutant35/mutant35-static/7.grift,#(struct:srcloc 7.grift 107 29 4672 13),elsewhere,1, (#(struct:srcloc 7.grift 145 31 6311 14))
