file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/arithmetic/mutant10/mutant10-static/9.grift,#(struct:srcloc 9.grift 25 33 957 43),,1, (#(struct:srcloc 9.grift 35 41 1488 2))
/exp/blackscholes/arithmetic/mutant11/mutant11-dynamic.grift,#(struct:srcloc mutant11-dynamic.grift 51 23 1247 47),,1, (#(struct:srcloc mutant11-dynamic.grift 67 54 1816 2))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/4.grift,#(struct:srcloc 4.grift 27 33 1063 47),,1, (#(struct:srcloc 4.grift 35 65 1522 2))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/5.grift,#(struct:srcloc 5.grift 27 33 1063 47),,1, (#(struct:srcloc 5.grift 35 65 1522 2))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/9.grift,#(struct:srcloc 9.grift 27 33 1053 47),,1, (#(struct:srcloc 9.grift 35 65 1512 2))
/exp/blackscholes/arithmetic/mutant12/mutant12-dynamic.grift,#(struct:srcloc mutant12-dynamic.grift 55 23 1375 46),,1, (#(struct:srcloc mutant12-dynamic.grift 67 57 1819 2))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/1.grift,#(struct:srcloc 1.grift 29 33 1172 46),,1, (#(struct:srcloc 1.grift 35 68 1536 2))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/5.grift,#(struct:srcloc 5.grift 29 33 1163 46),,1, (#(struct:srcloc 5.grift 35 68 1525 2))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/9.grift,#(struct:srcloc 9.grift 29 33 1153 46),,1, (#(struct:srcloc 9.grift 35 68 1515 2))
/exp/blackscholes/arithmetic/mutant13/mutant13-static/7.grift,#(struct:srcloc 7.grift 31 33 1262 47),,1, (#(struct:srcloc 7.grift 35 57 1512 2))
/exp/blackscholes/arithmetic/mutant13/mutant13-static/8.grift,#(struct:srcloc 8.grift 31 33 1260 47),,1, (#(struct:srcloc 8.grift 35 57 1510 2))
/exp/blackscholes/arithmetic/mutant14/mutant14-dynamic.grift,#(struct:srcloc mutant14-dynamic.grift 63 23 1630 46),,1, (#(struct:srcloc mutant14-dynamic.grift 67 38 1800 2))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/9.grift,#(struct:srcloc 9.grift 35 36 1461 60),,1, (#(struct:srcloc 9.grift 37 53 1624 1))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/2.grift,#(struct:srcloc 2.grift 53 12 2227 52),,2, (#(struct:srcloc 2.grift 57 26 2422 3) #(struct:srcloc 2.grift 55 56 2362 3))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/4.grift,#(struct:srcloc 4.grift 53 12 2224 52),,2, (#(struct:srcloc 4.grift 57 26 2417 3) #(struct:srcloc 4.grift 55 56 2359 3))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/5.grift,#(struct:srcloc 5.grift 53 12 2210 52),,2, (#(struct:srcloc 5.grift 57 26 2403 3) #(struct:srcloc 5.grift 55 56 2345 3))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/7.grift,#(struct:srcloc 7.grift 53 12 2208 52),,2, (#(struct:srcloc 7.grift 57 26 2401 3) #(struct:srcloc 7.grift 55 56 2343 3))
/exp/blackscholes/arithmetic/mutant29/mutant29-dynamic.grift,#(struct:srcloc mutant29-dynamic.grift 113 15 3005 69),,2, (#(struct:srcloc mutant29-dynamic.grift 116 24 3196 9) #(struct:srcloc mutant29-dynamic.grift 115 43 3152 9))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/3.grift,#(struct:srcloc 3.grift 63 21 2646 69),,2, (#(struct:srcloc 3.grift 66 28 2850 9) #(struct:srcloc 3.grift 65 47 2802 9))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/6.grift,#(struct:srcloc 6.grift 63 21 2634 69),,2, (#(struct:srcloc 6.grift 66 28 2838 9) #(struct:srcloc 6.grift 65 47 2790 9))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/7.grift,#(struct:srcloc 7.grift 63 21 2630 69),,2, (#(struct:srcloc 7.grift 66 28 2834 9) #(struct:srcloc 7.grift 65 47 2786 9))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/3.grift,#(struct:srcloc 3.grift 13 18 432 53),,1, (#(struct:srcloc 3.grift 37 55 1634 12))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/6.grift,#(struct:srcloc 6.grift 13 18 432 53),,1, (#(struct:srcloc 6.grift 37 55 1634 12))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/7.grift,#(struct:srcloc 7.grift 13 18 432 53),,1, (#(struct:srcloc 7.grift 37 55 1632 12))
/exp/blackscholes/arithmetic/mutant6/mutant6-dynamic.grift,#(struct:srcloc mutant6-dynamic.grift 31 15 677 37),,2, (#(struct:srcloc mutant6-dynamic.grift 35 22 803 6) #(struct:srcloc mutant6-dynamic.grift 51 41 1287 6))
/exp/blackscholes/arithmetic/mutant6/mutant6-static/9.grift,#(struct:srcloc 9.grift 17 21 609 37),,2, (#(struct:srcloc 9.grift 19 29 713 6) #(struct:srcloc 9.grift 27 51 1093 6))
/exp/blackscholes/arithmetic/mutant8/mutant8-dynamic.grift,#(struct:srcloc mutant8-dynamic.grift 39 19 885 39),,2, (#(struct:srcloc mutant8-dynamic.grift 59 41 1542 6) #(struct:srcloc mutant8-dynamic.grift 43 26 1029 6))
/exp/blackscholes/constant-swap/mutant35/mutant35-static/7.grift,#(struct:srcloc 7.grift 107 29 4672 13),,1, (#(struct:srcloc 7.grift 145 31 6311 14))
/exp/blackscholes/position-swap/mutant72/mutant72-static/8.grift,#(struct:srcloc 8.grift 147 42 6399 172),,1, (#(struct:srcloc 8.grift 64 22 2686 11))
