path,npe-num,tp-npe,spe-num,tp-spe,wdn-num,tp-wdn,fp-spe,fp-wdn
/exp/blackscholes/arithmetic/mutant10/mutant10-static/9.grift,3,2,3,2,3,2,((1 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant11/mutant11-dynamic.grift,3,2,3,2,3,2,((1 2 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/4.grift,3,2,3,2,3,2,((1 2 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/5.grift,3,2,3,2,3,2,((1 2 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/9.grift,3,2,3,2,3,2,((1 2 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant12/mutant12-dynamic.grift,3,2,3,2,3,2,((2 2 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/1.grift,3,2,3,2,3,2,((2 2 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/5.grift,3,2,3,2,3,2,((2 2 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/9.grift,3,2,3,2,3,2,((2 2 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant13/mutant13-static/7.grift,3,2,3,2,3,2,((1 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant13/mutant13-static/8.grift,3,2,3,2,3,2,((1 2 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant14/mutant14-dynamic.grift,3,2,3,2,3,2,((1 2 3 0 1 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/9.grift,3,2,3,2,3,2,((1 2 3 0 1 2 2 2 2 2 2 2 2 2 4 1)),((2 2 2 2 2 2 2 4 1))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/2.grift,4,2,4,2,3,2,((2 3 0 1 2 2 4 2) (2 3 0 1 2 4 2)),((2))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/4.grift,4,2,4,2,3,2,((2 3 0 1 2 2 4 2) (2 3 0 1 2 4 2)),((2))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/5.grift,4,2,4,2,3,2,((2 3 0 1 2 2 4 2) (2 3 0 1 2 4 2)),((2))
/exp/blackscholes/arithmetic/mutant24/mutant24-static/7.grift,4,2,4,2,3,2,((2 3 0 1 2 2 4 2) (2 3 0 1 2 4 2)),((2))
/exp/blackscholes/arithmetic/mutant29/mutant29-dynamic.grift,4,2,4,2,3,2,((1 1 3 2 2 2 2 4 2) (1 2 2 2 2 2 2 4 2)),((2 2 4 2))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/3.grift,4,2,4,2,3,2,((1 1 3 2 2 2 2 4 2) (1 2 2 2 2 2 2 4 2)),((2 2 4 2))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/6.grift,4,2,4,2,3,2,((1 1 3 2 2 2 2 4 2) (1 2 2 2 2 2 2 4 2)),((2 2 4 2))
/exp/blackscholes/arithmetic/mutant29/mutant29-static/7.grift,4,2,4,2,3,2,((1 1 3 2 2 2 2 4 2) (1 2 2 2 2 2 2 4 2)),((2 2 4 2))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/3.grift,3,2,3,2,3,2,((2 2 3 0 1 2 2 2 2 2 2 2 2 2 4 1)),((2 4 1))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/6.grift,3,2,3,2,3,2,((2 2 3 0 1 2 2 2 2 2 2 2 2 2 4 1)),((2 4 1))
/exp/blackscholes/arithmetic/mutant3/mutant3-static/7.grift,3,2,3,2,3,2,((2 2 3 0 1 2 2 2 2 2 2 2 2 2 4 1)),((2 4 1))
/exp/blackscholes/arithmetic/mutant6/mutant6-dynamic.grift,4,2,4,2,3,2,((1 3 0 1 2 2 2 2 4 1) (2 3 1 1 2 2 2 2 2 2 2 4 1)),((2 2 4 1))
/exp/blackscholes/arithmetic/mutant6/mutant6-static/9.grift,4,2,4,2,3,2,((1 3 0 1 2 2 2 2 4 1) (2 3 1 1 2 2 2 2 2 2 2 4 1)),((2 2 4 1))
/exp/blackscholes/arithmetic/mutant8/mutant8-dynamic.grift,4,2,4,2,3,2,((2 3 3 1 2 2 2 2 2 2 2 4 1) (1 3 0 1 2 2 2 2 2 2 4 1)),((2 2 2 2 4 1))
/exp/blackscholes/constant-swap/mutant35/mutant35-static/7.grift,1,0,1,0,1,1,((2 1 1 2 3 2 2 4 7)),()
/exp/blackscholes/position-swap/mutant72/mutant72-static/8.grift,1,0,1,0,1,0,((1 1 2 2 2 2 4 2)),((2))
