file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/arithmetic/mutant10/mutant10-dynamic.grift,#(struct:srcloc mutant10-dynamic.grift 47 23 1123 43),elsewhere,1, (#(struct:srcloc mutant10-dynamic.grift 40 14 919 1107))
/exp/blackscholes/arithmetic/mutant10/mutant10-static/9.grift,#(struct:srcloc 9.grift 25 33 957 43),elsewhere,1, (#(struct:srcloc 9.grift 22 21 812 963))
/exp/blackscholes/arithmetic/mutant11/mutant11-dynamic.grift,#(struct:srcloc mutant11-dynamic.grift 51 23 1247 47),elsewhere,1, (#(struct:srcloc mutant11-dynamic.grift 40 14 919 1107))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/2.grift,#(struct:srcloc 2.grift 27 33 1066 47),elsewhere,1, (#(struct:srcloc 2.grift 22 21 823 965))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/3.grift,#(struct:srcloc 3.grift 27 33 1063 47),elsewhere,1, (#(struct:srcloc 3.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/4.grift,#(struct:srcloc 4.grift 27 33 1063 47),elsewhere,1, (#(struct:srcloc 4.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/5.grift,#(struct:srcloc 5.grift 27 33 1063 47),elsewhere,1, (#(struct:srcloc 5.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/6.grift,#(struct:srcloc 6.grift 27 33 1063 47),elsewhere,1, (#(struct:srcloc 6.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/7.grift,#(struct:srcloc 7.grift 27 33 1063 47),elsewhere,1, (#(struct:srcloc 7.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/8.grift,#(struct:srcloc 8.grift 27 33 1061 47),elsewhere,1, (#(struct:srcloc 8.grift 22 21 818 965))
/exp/blackscholes/arithmetic/mutant11/mutant11-static/9.grift,#(struct:srcloc 9.grift 27 33 1053 47),elsewhere,1, (#(struct:srcloc 9.grift 22 21 812 963))
/exp/blackscholes/arithmetic/mutant12/mutant12-dynamic.grift,#(struct:srcloc mutant12-dynamic.grift 55 23 1375 46),elsewhere,1, (#(struct:srcloc mutant12-dynamic.grift 40 14 919 1107))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/1.grift,#(struct:srcloc 1.grift 29 33 1172 46),elsewhere,1, (#(struct:srcloc 1.grift 22 21 827 969))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/2.grift,#(struct:srcloc 2.grift 29 33 1166 46),elsewhere,1, (#(struct:srcloc 2.grift 22 21 823 965))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/3.grift,#(struct:srcloc 3.grift 29 33 1163 46),elsewhere,1, (#(struct:srcloc 3.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/4.grift,#(struct:srcloc 4.grift 29 33 1163 46),elsewhere,1, (#(struct:srcloc 4.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/5.grift,#(struct:srcloc 5.grift 29 33 1163 46),elsewhere,1, (#(struct:srcloc 5.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/6.grift,#(struct:srcloc 6.grift 29 33 1163 46),elsewhere,1, (#(struct:srcloc 6.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/7.grift,#(struct:srcloc 7.grift 29 33 1163 46),elsewhere,1, (#(struct:srcloc 7.grift 22 21 820 965))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/8.grift,#(struct:srcloc 8.grift 29 33 1161 46),elsewhere,1, (#(struct:srcloc 8.grift 22 21 818 965))
/exp/blackscholes/arithmetic/mutant12/mutant12-static/9.grift,#(struct:srcloc 9.grift 29 33 1153 46),elsewhere,1, (#(struct:srcloc 9.grift 22 21 812 963))
/exp/blackscholes/arithmetic/mutant13/mutant13-dynamic.grift,#(struct:srcloc mutant13-dynamic.grift 59 23 1502 47),elsewhere,1, (#(struct:srcloc mutant13-dynamic.grift 40 14 919 1107))
/exp/blackscholes/arithmetic/mutant13/mutant13-static/7.grift,#(struct:srcloc 7.grift 31 33 1262 47),elsewhere,1, (#(struct:srcloc 7.grift 22 21 820 963))
/exp/blackscholes/arithmetic/mutant13/mutant13-static/8.grift,#(struct:srcloc 8.grift 31 33 1260 47),elsewhere,1, (#(struct:srcloc 8.grift 22 21 818 963))
/exp/blackscholes/arithmetic/mutant13/mutant13-static/9.grift,#(struct:srcloc 9.grift 31 33 1254 47),elsewhere,1, (#(struct:srcloc 9.grift 22 21 814 961))
/exp/blackscholes/arithmetic/mutant14/mutant14-dynamic.grift,#(struct:srcloc mutant14-dynamic.grift 63 23 1630 46),elsewhere,1, (#(struct:srcloc mutant14-dynamic.grift 40 14 919 1107))
/exp/blackscholes/arithmetic/mutant15/mutant15-dynamic.grift,#(struct:srcloc mutant15-dynamic.grift 67 25 1765 60),elsewhere,1, (#(struct:srcloc mutant15-dynamic.grift 44 16 1038 987))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/0.grift,#(struct:srcloc 0.grift 35 36 1484 60),elsewhere,1, (#(struct:srcloc 0.grift 24 24 925 872))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/1.grift,#(struct:srcloc 1.grift 35 36 1482 60),elsewhere,1, (#(struct:srcloc 1.grift 24 24 923 872))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/2.grift,#(struct:srcloc 2.grift 35 36 1474 60),elsewhere,1, (#(struct:srcloc 2.grift 24 24 919 868))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/3.grift,#(struct:srcloc 3.grift 35 36 1471 60),elsewhere,1, (#(struct:srcloc 3.grift 24 24 916 868))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/4.grift,#(struct:srcloc 4.grift 35 36 1471 60),elsewhere,1, (#(struct:srcloc 4.grift 24 24 916 868))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/5.grift,#(struct:srcloc 5.grift 35 36 1471 60),elsewhere,1, (#(struct:srcloc 5.grift 24 24 916 868))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/6.grift,#(struct:srcloc 6.grift 35 36 1471 60),elsewhere,1, (#(struct:srcloc 6.grift 24 24 916 868))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/7.grift,#(struct:srcloc 7.grift 35 36 1469 60),elsewhere,1, (#(struct:srcloc 7.grift 24 24 916 866))
/exp/blackscholes/arithmetic/mutant15/mutant15-static/8.grift,#(struct:srcloc 8.grift 35 36 1467 60),elsewhere,1, (#(struct:srcloc 8.grift 24 24 914 866))
