path,spe-num,tp-spe,wdn-num,tp-wdn,fp-spe,fp-wdn
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant0/mutant0-dynamic.grift,9,1,13,2,((1 4 5) (2 2 3 2 1 2 2 3 4 13) (2 3 0 1 2 2 3 4 13) (3 0 1 3 2 2 2 3 4 13) (2 3 2 1 2 2 3 4 13) (2 1 4 5) (1 3 2 1 2 2 3 4 13) (3 0 1 2 2 3 4 13)),((2 1 3 2 1 2 2 3 4 13) (1 3 0 1 3 2 2 2 3 4 13) (1 1 3 2 1 2 2 3 4 13) (1 1 4 5) (2 2 3 0 1 2 2 3 4 13) (2 2 1 4 5) (1 3 0 1 2 2 3 4 13) (1 2 2 3 2 1 2 2 3 4 13) (1 2 3 2 1 2 2 3 4 13) (1 2 1 4 5) (1 2 3 0 1 2 2 3 4 13))
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant1/mutant1-dynamic.grift,2,1,3,3,((5)),()
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant10/mutant10-dynamic.grift,1,1,2,2,(),()
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant11/mutant11-dynamic.grift,2,1,3,3,((1 2 4 11)),()
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant12/mutant12-dynamic.grift,2,1,3,2,((1 1 2 4 11)),((1 1 1 2 4 11))
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant13/mutant13-dynamic.grift,4,1,3,2,((1 2 2 2 3 4 13) (2 2 3 0 1 3 2 2 2 3 4 13) (3 2 1 3 2 3 2 2 2 3 4 13)),((2 3 4 13))
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant14/mutant14-dynamic.grift,2,1,3,3,((3 0 1 2 2 3 4 13)),()
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant15/mutant15-dynamic.grift,3,1,3,2,((3 1 1 3 2 3 2 2 2 3 4 13) (3 0 1 2 2 2 2 3 4 13)),((2 3 4 13))
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant16/mutant16-dynamic.grift,2,1,3,3,((3 1 1 2 2 3 4 13)),()
/exp/bug-dyn-exp/fake-playground/ray/arithmetic/mutant17/mutant17-dynamic.grift,2,1,3,3,((2 3 1 1 2 2 3 4 13)),()
