cas,mutator,anntations,percentage,accepted?,loc,blame error?,analyse time,constraints,hit as normal,hit as strict,Normal,Strict,Wrong dynamic
blackscholes,arithmetic,131,999,true,270,true,250,5803,true,true,7,7,3
blackscholes,arithmetic,131,-1,true,270,true,100,1158,true,true,5,2,2
blackscholes,arithmetic,131,89.31,true,152,true,143,3849,true,true,3,3,3
blackscholes,arithmetic,131,79.39,true,152,true,206,3838,true,true,3,3,3
blackscholes,arithmetic,131,70.23,true,152,true,80,2165,true,true,5,2,2
blackscholes,arithmetic,131,60.31,true,152,true,79,2118,true,true,5,2,2
blackscholes,arithmetic,131,50.38,true,152,true,83,2049,true,true,5,2,2
blackscholes,arithmetic,131,45.8,true,152,true,98,2025,true,true,5,2,2
blackscholes,arithmetic,131,41.22,true,152,true,98,1983,true,true,5,2,2
blackscholes,arithmetic,131,33.59,true,152,true,58,1168,true,true,5,2,2
blackscholes,arithmetic,131,23.66,true,152,true,65,1143,true,true,5,2,2
blackscholes,arithmetic,131,14.5,true,152,true,60,1212,true,true,5,2,2
blackscholes,arithmetic,131,999,true,270,true,241,5808,true,true,3,3,3
blackscholes,arithmetic,131,-1,true,270,true,66,1140,true,true,3,3,3
blackscholes,arithmetic,131,89.31,true,152,true,142,3882,true,true,3,3,3
blackscholes,arithmetic,131,79.39,true,152,true,145,3843,true,true,3,3,3
blackscholes,arithmetic,131,70.23,true,152,true,75,2058,true,true,3,3,3
blackscholes,arithmetic,131,60.31,true,152,true,78,2076,true,true,3,3,3
blackscholes,arithmetic,131,51.15,true,152,true,122,2176,true,true,3,3,3
blackscholes,arithmetic,131,44.27,true,152,true,107,1998,true,true,3,3,3
blackscholes,arithmetic,131,41.22,true,152,true,97,1944,true,true,3,3,3
blackscholes,arithmetic,131,32.82,true,152,true,98,1925,true,true,3,3,3
blackscholes,arithmetic,131,23.66,true,152,true,63,1126,true,true,3,3,3
blackscholes,arithmetic,131,14.5,true,152,true,60,1211,true,true,3,3,3
blackscholes,arithmetic,131,999,true,270,true,237,5807,true,true,4,4,3
blackscholes,arithmetic,131,-1,true,270,true,68,1140,true,true,3,3,3
blackscholes,arithmetic,131,89.31,true,152,true,142,3881,true,true,4,4,3
blackscholes,arithmetic,131,79.39,true,152,true,145,3842,true,true,4,4,3
blackscholes,arithmetic,131,70.23,true,152,true,116,3132,true,true,4,4,3
blackscholes,arithmetic,131,60.31,true,152,true,56,1394,true,true,4,4,3
blackscholes,arithmetic,131,50.38,true,152,true,111,2025,true,true,4,4,3
blackscholes,arithmetic,131,45.8,true,152,true,94,1996,true,true,4,4,3
blackscholes,arithmetic,131,41.22,true,152,true,100,1961,true,true,4,4,3
blackscholes,arithmetic,131,32.82,true,152,true,97,1788,true,true,4,4,3
blackscholes,arithmetic,131,23.66,true,152,true,66,1130,true,true,4,4,3
blackscholes,arithmetic,131,14.5,true,152,true,62,1211,true,true,3,3,3
blackscholes,arithmetic,131,999,true,270,true,262,5807,true,true,4,4,3
blackscholes,arithmetic,131,-1,true,270,true,67,1140,true,true,3,3,3
blackscholes,arithmetic,131,89.31,true,152,true,149,3881,true,true,4,4,3
blackscholes,arithmetic,131,79.39,true,152,true,142,3842,true,true,4,4,3
blackscholes,arithmetic,131,70.23,true,152,true,76,2152,true,true,3,3,3
blackscholes,arithmetic,131,60.31,true,152,true,77,2148,true,true,3,3,3
blackscholes,arithmetic,131,51.15,true,152,true,100,2183,true,true,3,3,3
blackscholes,arithmetic,131,44.27,true,152,true,108,2001,true,true,3,3,3
blackscholes,arithmetic,131,41.22,true,152,true,98,2006,true,true,3,3,3
blackscholes,arithmetic,131,33.59,true,152,true,57,1134,true,true,3,3,3
blackscholes,arithmetic,131,23.66,true,152,true,63,1127,true,true,3,3,3
blackscholes,arithmetic,131,14.5,true,152,true,59,1211,true,true,3,3,3
blackscholes,arithmetic,131,999,true,270,true,234,5807,true,true,4,4,3
blackscholes,arithmetic,131,-1,true,270,true,66,1140,true,true,3,3,3
blackscholes,arithmetic,131,89.31,true,152,true,139,3853,true,true,4,4,3
blackscholes,arithmetic,131,79.39,true,152,true,140,3842,true,true,3,3,3
blackscholes,arithmetic,131,70.23,true,152,true,124,2158,true,true,3,3,3
blackscholes,arithmetic,131,60.31,true,152,true,143,2122,true,true,3,3,3
blackscholes,arithmetic,131,51.15,true,152,true,110,2175,true,true,3,3,3
blackscholes,arithmetic,131,44.27,true,152,true,101,2022,true,true,3,3,3
blackscholes,arithmetic,131,41.22,true,152,true,134,1975,true,true,3,3,3
blackscholes,arithmetic,131,33.59,true,152,true,76,1144,true,true,3,3,3
blackscholes,arithmetic,131,23.66,true,152,true,68,1127,true,true,3,3,3
